,Unnamed: 0,drug_name,SE_name,age_id,count,ROR,ROR_upper,ROR_lower
55,55,DB00316,10047700,2,425.0,0.5822760809324483,0.6536949717871121,0.5186600005491055
83,83,DB00316,10048393,0,89.0,6.274025874081218,11.229230389314006,3.505440649441097
56,56,DB00316,10048393,2,12.0,0.1692850660482,0.3092256703537812,0.0926748208004751
57,57,DB00316,10048962,2,7.0,0.1560029557421393,0.342053452440726,0.0711494710157945
84,84,DB00316,10049119,0,116.0,4.833857401756533,7.62637340891063,3.063864844752481
58,58,DB00316,10049119,2,12.0,0.1208314726515795,0.218476097943414,0.066827652638372
85,85,DB00316,10052076,1,11.0,31.41165432098765,75.85354051718706,13.00785725298683
59,59,DB00316,10054889,2,35.0,0.3340236706029166,0.4848279095725045,0.2301266290990217
86,86,DB00316,10061428,2,365.0,1.6115268963702365,1.8815115837071408,1.3802832574688604
87,87,DB00316,10061603,1,11.0,20.192042328042326,44.51131632381696,9.159885778513631
88,88,DB00316,10061818,2,317.0,1.8472827030738483,2.1955698705298885,1.5542449506524914
89,89,DB00316,10067973,2,88.0,4.310956370362311,6.678277738200772,2.782805021848984
60,60,DB00316,10067973,0,26.0,0.2699299658718901,0.4181584494835108,0.1742454004351595
90,90,DB00316,10070608,1,9.0,25.68522357121706,64.74834100979103,10.189152333704458
317,317,DB00331,10002034,2,175.0,2.0596657711808173,2.6581513307024003,1.5959298629746896
318,318,DB00331,10003658,2,135.0,2.464114951837438,3.3543322814255228,1.8101553413451343
190,190,DB00331,10003658,0,58.0,0.4193713842667144,0.570878527733298,0.3080731703819555
319,319,DB00331,10012671,0,189.0,3.5907023673272693,4.884057022455261,2.639842948485509
191,191,DB00331,10012671,2,50.0,0.2737750945434248,0.3740393135913401,0.2003874985027685
320,320,DB00331,10047942,2,129.0,2.626232713103123,3.6261746830470223,1.9020314425606928
192,192,DB00331,10047942,0,51.0,0.3829006694903675,0.5296876492945145,0.2767912804677321
130,130,DB00333,10014387,1,25.0,84.1903073286052,208.51503356773227,33.99279048041674
85,85,DB00333,10014387,0,6.0,0.0975352775164628,0.2385894124870096,0.03987239107155
353,353,DB00338,10002855,2,93.0,0.4748745322292012,0.6084107154025136,0.3706473532615415
625,625,DB00338,10003549,2,465.0,1.9599926502352512,2.293555667687122,1.6749413337109618
354,354,DB00338,10003549,0,235.0,0.5615919175736321,0.6574885292665085,0.4796821052313598
626,626,DB00338,10003658,2,198.0,2.637771382525613,3.442642264520515,2.0210748988292444
355,355,DB00338,10003658,0,75.0,0.4250428606870299,0.5547384500398277,0.3256695716838147
627,627,DB00338,10007559,2,140.0,2.327526577076713,3.151023284557303,1.7192446636456835
628,628,DB00338,10009900,1,15.0,32.37589103869654,65.61049304343669,15.976077482844126
629,629,DB00338,10019211,0,478.0,1.5956194155648014,1.835627874303864,1.3869920777341065
356,356,DB00338,10019211,2,308.0,0.595846319723219,0.6870950231989957,0.5167157740056578
630,630,DB00338,10020100,2,47.0,11.70427666717534,32.49053599820121,4.2163075521243885
357,357,DB00338,10020100,0,4.0,0.0957455449805311,0.2657853805388445,0.0344910219103609
631,631,DB00338,10021972,1,9.0,103.20892494929006,381.6272715057819,27.912266718147244
632,632,DB00338,10027599,0,84.0,3.060118138490698,4.621432500513173,2.026281465861492
358,358,DB00338,10027599,2,23.0,0.2479608171977435,0.3917092103732554,0.1569648229787214
633,633,DB00338,10028330,1,6.0,103.00202429149796,510.7678576870211,20.77150480100762
634,634,DB00338,10028521,1,7.0,120.25016880486156,579.357372471807,24.958866124209653
635,635,DB00338,10028622,1,10.0,49.17649333075585,129.37275984602712,18.69271011291745
636,636,DB00338,10035528,2,162.0,2.3095856666611927,3.0585432324885704,1.7440282991542642
637,637,DB00338,10043089,1,11.0,18.940927555856465,39.60216389566024,9.05906903525332
638,638,DB00338,10070608,1,33.0,52.4360824742268,90.15933048566752,30.4964858371592
359,359,DB00338,10070608,2,2.0,0.0374541631665518,0.1537086055979353,0.009126452829688
549,549,DB00341,10003658,2,49.0,4.209073664242808,7.086859899738365,2.499880251855469
308,308,DB00341,10019211,2,87.0,0.5092371713316369,0.648535411881054,0.3998586536912321
309,309,DB00341,10027599,2,4.0,0.1096298246591156,0.3014794425091526,0.0398657313240307
550,550,DB00341,10070608,1,17.0,9.41054061784897,18.658789144070667,4.746196231513074
358,358,DB00374,10003549,2,354.0,1.7141275212351457,1.9982022701064643,1.4704383049766008
359,359,DB00374,10008479,0,534.0,1.7423190076652928,2.031435694746218,1.494349800155013
218,218,DB00374,10008479,2,205.0,0.5351457665471095,0.6284156583853796,0.4557190573339735
219,219,DB00374,10012442,2,26.0,0.2498999439686224,0.3787235822785238,0.1648959423646167
